conté|conté1|conter|COMPUTARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
contés|contés|conter|COMPUTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
convenoit|convenoit|covenir|CONVENIRE||VERB||Fin,Ind,Imp,Intr,3,Sing
conviegne|conviegne|covenir|CONVENIRE||VERB||Fin,Sub,Pres,Intr,3,Sing
corociés|corociés1|corrocier|*CORRUPTUM||VERB|Adj|Ind,Part,Past,Sing,Masc
cors|cors|cors1|CORPUS||NOUN||Masc,Sing,Acc
cortesie|cortesie|cortoisie|COHORS||NOUN||Fem,Sing
cortois|cortois|cortois|COHORS||ADJ||Masc,Sing,Nom
coulor|coulor|color|COLOR||NOUN||Fem,Sing
coverture|coverture|coveture|COOPERIRE||NOUN||Fem,Sing
creance|creance|crëance|CREDERE||NOUN||Fem,Sing
cremeroit|cremeroit|cremer1|TREMERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Sing
crinellés|crinellés|crenelé|*CRINARE||ADJ||Masc,Plur,Acc
cristal|cristal|cristal|CRYSTALLUS||NOUN||Masc,Sing,Acc
croi|croi|croire|CREDERE||VERB||Fin,Ind,Pres,Intr,1,Sing
cui|cui|qui|QUI||PRON||Rel,Acc
cuidoient|cuidoient|cuidier1|COGITARE||VERB||Fin,Ind,Imp,Intr,3,Plur
cuor|cuor1|cuer2|COR||NOUN||Masc,Sing,Nom
d_entor|d_entor|entor|TORNARE||ADV|Adv|Loc,MWEs
d_entor|d_entor1|entor|TORNARE||ADV|Adp|Loc,MWEs
d_environ|d_environ|environ|VIBRARE||NOUN|Adv|Masc,Sing,Acc
daire|daire|Daires|||PROPN||Masc,Sing,Nom
damaje|damaje|damage|DAMNUM||NOUN||Masc,Sing,Nom
dame|dame|dame|DOMINA||NOUN||Fem,Sing
dames|dames|dame|DOMINA||NOUN||Fem,Plur
damoisel|damoisel|damoisel|*DOMNICELLUS||NOUN||Masc,Sing,Nom
damoiselles|damoiselles|damoisele|*DOMNICELLA||NOUN||Fem,Plur
dardaine|dardaine||||||
de|de|de|DE||ADP||
de_denz|de_denz|dedans|DEINTUS||ADP||
de_lonc|de_lonc|lonc|LONGUS||NOUN|Adv|Masc,Sing
de_sus|de_sus|desus|SURSUM||ADP||
