FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
entendés	entendés	entendre	INTENDERE		VERB		Fin,Imp,Pres,Intr,2,Plur
à	à	a3	AD		ADP		
moi	moi	moi	ME		PRON		Prs,1,Sing,Acc
.	.						
qi	qi	qui	QUI		PRON		Rel,Nom
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
.	.						
qi	qi	qui	QUI		PRON		Rel,Nom
fois	fois	foiz	VICES		NOUN		Fem,Plur
et	et	et	ET		CCONJ		
loiauté	loiauté	lëauté	LEGALIS		NOUN		Fem,Sing
me	me	moi	ME		PRON		Prs,1,Sing,Acc
portés	portés	porter	PORTARE		VERB		Ind,Part,Past,Plur,Masc
.	.						
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
savés	savés	savoir	SAPERE		VERB		Fin,Ind,Pres,Act,Trans,2,Plur
bien	bien	bien2	BENE		ADV		Man
coment	coment	coment	QUOMODO		ADV		Int
les	les	le	ILLE		DET		ArtDef,Masc,Plur
gresois	gresois	gregois	GRAECUS		ADJ		Fem,Sing
vindrent	vindrent	venir	VENIRE		VERB		Fin,Ind,Past,Intr,3,Plur
en	en	en1	IN		ADP		
cestui	cestui	cest	ISTE		PRON		Dem,Masc,Sing,Nom
païs	païs	päis	PAGENSIS		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
la	la	le	ILLE		DET		ArtDef,Fem,Sing
grant	grant	grant	GRANDIS		ADJ		Masc,Sing,Acc
desconfiture	desconfiture	desconfiture	CONFICERE		NOUN		Fem,Sing
q’	q’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
firent	firent	faire	FACERE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
de	de	de	DE		ADP		
nostre	nostre	nostre	NOSTER		DET		Poss,Fem,Sing
gent	gent	gent2	GENITUS		ADJ		Fem,Sing
et	et	et	ET		CCONJ		
coment	coment	coment	QUOMODO		ADV		Int
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
hocistrent	hocistrent	ocire	OCCIDERE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
mon	mon	mon1	MEUS		DET		Poss,Masc,Sing,Nom
pere	pere	pere2	PATER		NOUN		Masc,Sing,Nom
et	et	et	ET		CCONJ		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
mere	mere	mere	MATER		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
mes	mes	mais1	MAGIS2		CCONJ		
