FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
vindrent	vindrent	venir	VENIRE		VERB		Fin,Ind,Past,Intr,3,Plur
en	en	en1	IN		ADP		
cestui	cestui1	cest	ISTE		DET		Dem,Masc,Sing,Acc
païs	païs	päis	PAGENSIS		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
la	la	le	ILLE		DET		ArtDef,Fem,Sing
grant	grant1	grant	GRANDIS		ADJ		Fem,Sing
desconfiture	desconfiture	desconfiture	CONFICERE		NOUN		Fem,Sing
q’	q’	queque	QUID		PRON		Rel,Acc
il	il1	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
firent	firent	faire	FACERE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
de	de	de	DE		ADP		
nostre	nostre	nostre	NOSTER		DET		Poss,Fem,Sing
gent	gent	gent2	GENITUS		ADJ		Fem,Sing
et	et	et	ET		CCONJ		
coment	coment	coment	QUOMODO		ADV		Int
il	il1	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
hocistrent	hocistrent	ocire	OCCIDERE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
mon	mon1	mon1	MEUS		DET		Poss,Masc,Sing,Acc
pere	pere1	pere2	PATER		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
mere	mere	mere	MATER		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
mes	mes1	mon1	MEUS		DET		Poss,Fem,Plur
serors	serors	seror	SOROR		NOUN		Fem,Plur
.	.						
et	et	et	ET		CCONJ		
puis	puis	puis	POSTEA		ADV		Tim
enmenerent	enmenerent	enmener	MINARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
suor	suor	seror	SOROR		NOUN		Fem,Sing
esionan	esionan	Esionam			PROPN		Fem,Sing
en	en	en1	IN		ADP		
servaje	servaje	servage	SERVUS		NOUN		Masc,Sing,Acc
.	.						
si	si	si	SIC		ADV		
ne	ne	ne1	NON		ADV		Neg
