est|est1|estre1|ESSE||VERB|auxCop|Fin,Ind,Pres,3,Sing
est|est2|estre1|ESSE||VERB|auxPass|Fin,Ind,Pres,3,Sing,MWEs
estoit|estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing
estoit|estoit1|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
estoit|estoit2|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs
estoit|estoit3|estre1|ESSE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
eüssent|eüssent|avoir|HABERE||VERB|auxTens|Fin,Sub,Imp,3,Plur,MWEs
eüst|eüst|avoir|HABERE||VERB||Fin,Sub,Imp,Act,Trans,3,Sing
fer|fer|X|X||X||
fet|fet|faire|FACERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
fet|fet1|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Sing
firent|firent1|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Sing
fu|fu|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing
fu|fu1|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
fu|fu2|estre1|ESSE||VERB|auxTens|Fin,Ind,Past,3,Sing,MWEs
fusent|fusent|estre1|ESSE||VERB|auxTens|Fin,Sub,Imp,3,Plur,MWEs
fust|fust|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing
gardee|gardee|warder|*WARDôN||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
garderoient|garderoient|warder|*WARDôN||VERB||Fin,Cnd,Pres,Act,Trans,3,Plur
gresois|gresois|gregois|GRAECUS||ADJ||Fem,Sing
gresois|gresois1|gregois|GRAECUS||ADJ|Noun|Masc,Plur,Acc
gresoit|gresoit|gregois|GRAECUS||ADJ||Fem,Sing
ho|ho|avuec|AB HOC||ADP||
homier|homier|Homère|||PROPN||Masc,Sing,Nom
hooit|hooit|öir|AUDIRE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
il|il1|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
