FORMA|FORMAKEY|LEMMA|ETIMO|LANG|POS|FUNCT|MSD
monde|monde1|monde1|MUNDUS1||NOUN||Masc,Sing,Acc
.|.||||||
haï_las|haï_las||||||
.|.||||||
porqoi|porqoi|por2|PRO/QUID||ADV||Int
ne|ne|ne1|NON||ADV||Neg
muer|muer|morir|MORI||VERB||Fin,Ind,Pres,Intr,1,Sing
je|je|je|EGO||PRON||Prs,1,Sing,Nom
tot_maintenat|tot_maintenat||||||
por_ce_qe|por_ce_qe|por2|PRO||ADP|SConj |MWEs
je|je|je|EGO||PRON||Prs,1,Sing,Nom
ne|ne|ne1|NON||ADV||Neg
veïsse|veïsse|vëoir|VIDERE||VERB||Fin,Sub,Imp,Act,Trans,1,Sing
si|si|si|SIC||ADV||
fete|fete4|faire|FACERE||VERB|Adj|Ind,Part,Past,Sing,Fem
doulor|doulor1|dolor|DOLOR||NOUN||Fem,Sing
.|.||||||
aï|aï||||||
noble|noble|noble2|NOBILIS||ADJ||Fem,Sing
chevalerie|chevalerie|chevalerie|CABALLARIUS||NOUN||Fem,Sing
de|de|de|DE||ADP||
troie|troie|Troie|||PROPN||Fem,Sing
.|.||||||
à|à|a3|AD||ADP||
com|com1|come1|QUOMODO||ADV||
grant|grant1|grant|GRANDIS||ADJ||Fem,Sing
joie|joie|joie|GAUDIUM||NOUN||Fem,Sing
me|me|moi|ME||PRON||Prs,1,Sing,Acc
parti|parti|partir|PARTIRE||VERB||Fin,Ind,Past,Rfl,3,Sing
de|de|de|DE||ADP||
vos|vos|vos|VOS||PRON||Prs,2,Plur,Acc
et|et|et|ET||CCONJ||
hore|hore|or4|HORA||ADV||Tim
est|est2|estre1|ESSE||VERB|auxPass|Fin,Ind,Pres,3,Sing,MWEs
ensi|ensi|ainsi|SIC||ADV||
perie|perie|perir|PERIRE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
et|et|et|ET||CCONJ||
desritee|desritee|desireter|HEREDITARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
et|et|et|ET||CCONJ||
hocise|hocise|ocire|OCCIDERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
et|et|et|ET||CCONJ||
detrenchee|detrenchee|detrenchier|*TRINICARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
ho|ho|avuec|AB HOC||ADP||
tot|tot7|tot|TOTUS||DET||Ind,Fem,Sing
vostre|vostre2|vostre|VESTER||DET||Poss,Fem,Sing
gentil|gentil1|gentil|GENTILIS||NOUN||Fem,Sing
mainees|mainees|maisniee|MANSIO||NOUN||Fem,Sing
.|.||||||
peries|peries|perir|PERIRE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs
sont|sont3|estre1|ESSE||VERB|auxTens|Fin,Ind,Pres,3,Plur,MWEs
les|les2|le|ILLE||DET||ArtDef,Fem,Plur
hautes|hautes|haut|ALTUS||ADJ||Fem,Plur
dames|dames|dame|DOMINA||NOUN||Fem,Plur
et|et|et|ET||CCONJ||
les|les2|le|ILLE||DET||ArtDef,Fem,Plur
hautes|hautes|haut|ALTUS||ADJ||Fem,Plur
damoiselles|damoiselles|damoisele|*DOMNICELLA||NOUN||Fem,Plur
et|et|et|ET||CCONJ||
menee|menee1|mener|MINARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
en|en|en1|IN||ADP||
servaje|servaje|servage|SERVUS||NOUN||Masc,Sing,Acc
.|.||||||
et|et|et|ET||CCONJ||
avec|avec|avuec|AB HOC||ADP||
tot|tot7|tot|TOTUS||DET||Ind,Fem,Sing
ceste|ceste1|cest|ISTE||DET||Dem,Fem,Sing
grant|grant1|grant|GRANDIS||ADJ||Fem,Sing
doulor|doulor1|dolor|DOLOR||NOUN||Fem,Sing
est|est2|estre1|ESSE||VERB|auxPass|Fin,Ind,Pres,3,Sing,MWEs
menee|menee1|mener|MINARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
en|en|en1|IN||ADP||
servaje|servaje|servage|SERVUS||NOUN||Masc,Sing,Acc
ma|ma|mon1|MEUS||DET||Poss,Fem,Sing
suor|suor|seror|SOROR||NOUN||Fem,Sing
esionan|esionan|Esionam|||PROPN||Fem,Sing
.|.||||||
haï_las|haï_las||||||
bone|bone|bon|BONUS||ADJ||Fem,Sing
cité|cité|cité|CIVITAS||NOUN||Fem,Sing
et|et|et|ET||CCONJ||
riche|riche|riche|RîKI||ADJ||Fem,Sing
et|et|et|ET||CCONJ||
noble|noble|noble2|NOBILIS||ADJ||Fem,Sing
qi|qi|qui|QUI||PRON||Rel,Nom
hore|hore|or4|HORA||ADV||Tim
est|est2|estre1|ESSE||VERB|auxPass|Fin,Ind,Pres,3,Sing,MWEs
esilliee|esilliee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
et|et|et|ET||CCONJ||
gastee|gastee|gaster|VASTARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
.|.||||||
quel|quel|quel1|QUALIS||DET||Exc,Masc,Sing,Nom
damaje|damaje|damage|DAMNUM||NOUN||Masc,Sing,Nom
.|.||||||
qel|qel2|quel1|QUALIS||DET||Exc,Masc,Sing,Nom
doulor|doulor2|dolor|DOLOR||NOUN||Masc,Sing,Nom
.|.||||||
qi|qi4|qui|QUI||PRON||Int,Sing,Nom
le|le10|le|ILLE||PRON||Prs,Fem,Sing,Acc
poira|poira|pöoir|POSSE||VERB|auxMod|Fin,Ind,Fut,3,Sing
jamés|jamés|ja|JAM||ADV||Tim
restorer|restorer|restorer|RESTAURARE||VERB||Ind,Inf,Pres,Act,Trans
.|.||||||
certes|certes|certes|CERTUS||ADV||
nuls|nuls3|nul|NULLUS||PRON||Ind,Sing,Nom
.|.||||||
si_com|si_com||||||
je|je|je|EGO||PRON||Prs,1,Sing,Nom
croi|croi|croire|CREDERE||VERB||Fin,Ind,Pres,Intr,1,Sing
.|.||||||
priant|priant|Priam|||PROPN||Masc,Sing,Nom
.|.||||||
cheitif|cheitif|chaitif|CAPTIVUS||ADJ||Masc,Sing,Nom
et|et|et|ET||CCONJ||
